name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,Taiwan,Kirinyaga District,South-Central Kenya,4.6,95,17-Nov,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones; crisp, velvety mouthfeel. The cocoa-toned finish leads with spicy florals and tropical fruit in the short, grounded by pleasing notes of toasted barley in the long."
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Nyeri Growing Region,South-Central Kenya,5.29,92,17-Nov,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish."
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,95,17-Nov,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity; syrupy-smooth mouthfeel. The finish is long, resonant and flavor-saturated, carrying through on the promise of the cup."
Outbound Espresso,Propeller Coffee,Medium-Light,Canada,Mexico,Ethiopia,3.98,93,17-Nov,"Evaluated as espresso. Balanced, deeply and sweetly pungent. Honeysuckle, cashew, baker’s chocolate, cedar, caramel in aroma and small cup. Satiny mouthfeel; crisp, resonant finish that leads with baker’s chocolate in the short, rounding to nut-toned florals in the long. In three-parts milk, full and expressive of cashew butter, baker’s chocolate and honeysuckle. "
Ace Espresso,Propeller Coffee,Medium-Light,Canada,Mexico,Ethiopia,3.98,94,17-Nov,"Evaluated as espresso. Floral-toned, lively. Black currant, narcissus, sandalwood, roasted cacao nib, molasses in aroma and small cup. Syrupy, buoyant mouthfeel; gently drying, flavor-saturated finish centered around notes of black currant and narcissus. In three parts milk, centered on narcissus-like florals with cocoa tones and black currant just underneath, with hints of sandalwood resurfacing as well."
Kenya Mutungati,Propeller Coffee,Medium-Light,Canada,Nakuru Province,South-Central Kenya,4.65,94,17-Nov,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity; plush, syrupy mouthfeel. The balanced finish is resonant with notes of red currant and dark chocolate, with hints of lime zest. "
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,San Martin Jilotepeque,Chimaltenango Department,5.58,93,17-Nov,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: peach, chocolate, almond."
Kenya Peaberry Kericho County,Caffe Luxxe,Medium-Light,United States,Kericho County,Kenya,5.88,92,17-Nov,"Sweetly pungent, lightly savory. Unusual aromatics: floral-toned honey, plum, musk, a hint of coriander in aroma and cup. Crisply sweet, savory-edged structure; lightly syrupy mouthfeel. Dry and gently flavor-saturated in the finish."
Static El Salvador Finca Maria Luisa,Espresso Republic,Medium-Light,United States,Santa Rosa,La Unión Department,3.5,89,17-Nov,"Brisk and subtly layered. Almond butter, dried apricot, fresh-cut fir, hints of dark chocolate and clover in aroma and cup. Sweetly brisk and dry in structure; lightly syrupy mouthfeel. The drying structure sweetens and smoothes a bit in the finish, and chocolate and clover-like flowers move forward."
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Gichugu Division,Kirinyaga County,5.86,93,17-Nov,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of baker’s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish."
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.41,92,17-Nov,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish."
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Hambela District,Guji Zone,5.58,93,17-Nov,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones; plush, syrupy body. The perfumy, almost musk-like finish is characterized by tart fruit notes in the short and cocoa butter in the long."
Sustainable Harvest Homacho Waeno Natural,Red E Café,Light,United States,Aleta Wondo,Sidama (Also Sidamo) Growing Region,4.7,93,17-Nov,"Deeply and richly sweet-savory. Orange marmalade, pipe tobacco, dried fig, dark chocolate, freesia-like flowers in aroma and cup. Bright, sweetly-tart in structure with zesty acidity; delicately satiny mouthfeel. Notes of richly savory pipe tobacco lead in the finish, paired with dried fig in the short and orange marmalade in the long."
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.98,92,17-Nov,"Deeply sweet, fruit- and cocoa-toned. Baker’s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity; crisp though syrupy mouthfeel. The spice-toned finish suggests homemade fruitcake, with notes of dried fruit, nuts and warming spices. "
Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Huila,Colombia,4.98,89,17-Dec,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long. "
Diima #9 Ethiopia Natural,Roast House,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,7.35,93,17-Dec,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate. "
Sweet Holiday Blend,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,Kenya,4.41,93,17-Dec,"Richly sweet, spice-toned. Baker’s chocolate, tangerine zest, clove, date, sandalwood in aroma and cup. High-toned, sweetly tart in structure; plush and syrupy in mouthfeel. The finish centers around cocoa-toned clove notes and deeply sweet fruit in the short, aromatic sandalwood in the long."
DR Congo Virunga Organic,Speckled Ax,Medium-Light,United States,Kirumba,North Kivu Province,5,93,17-Dec,"Deeply sweet-savory, uniquely pungent. Ripe tomato, pink peppercorn, lantana-like flowers, blood orange zest, fresh pipe tobacco in aroma and cup. Savory-leaning, richly sweet in structure; plush and syrupy in mouthfeel. The finish is equal parts sweet and savory. Notes of citrus zest and lantana linger in the short and rich pipe tobacco in the long, while ripe tomato resonates throughout."
Holiday Blend,Fumi Coffee,Light,Taiwan,Ethiopia,Costa Rica,9.7,93,17-Dec,"Crisply sweet-tart, high-toned. Lemon verbena, cedar, pomegranate, lavender, maple syrup in aroma and cup. Sweetly tart in structure with bright, juicy acidity. The finish is deep and rich, with sweet, lemony herb tones, tart fruit notes, and hints of aromatic wood."
Kenya Thaitu,Good Folks Coffee,Medium-Light,United States,Nakuru County,South-Central Kenya,6.47,95,17-Dec,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; crisp, satiny, buoyant mouthfeel. The resonant finish leads with notes of berry and citrus zest in the short, rounding to chocolate in the long, with spicy florals throughout."
Yule Blend 2018,Flight Coffee Co.,Medium-Light,United States,Kirinyaga District,South-Central Kenya,4.41,94,17-Dec,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure; viscous, velvety mouthfeel. The rich though drying finish centers around spicy florals and berry tones in the short and notes of aromatic wood and maple syrup in the long."
Los Congos Pacamara Honey,Dragonfly Coffee Roasters,Light,United States,Nueva Segovia Growing Region,Nicaragua,5.88,93,17-Dec,"Sweetly pungent, richly savory-toned. Blackberry jam, roasted cacao nib, rhododendron, sundried tomato, nougat in aroma and cup. Sweet-savory structure with crisp, floral acidity; viscous, lightly syrupy mouthfeel. The finish is sweet-toned and balanced, with lingering notes of berry and cocoa."
Coffea Diversa Costa Rica Sudan Rume,OQ Coffee Co.,Medium-Light,United States,Biolley,Southern Costa Rica,12.35,93,17-Dec,"Bright, crisp, deeply sweet. Honey, lilac, cedar, tea rose, mango in aroma and cup. Crisply sweet-tart structure; satiny-smooth body. Notes of mango and spice-toned florals carry the short finish, while honey lingers in the long."
Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Taiwan,Kochere,Yirgacheffe Growing Region,8.44,94,17-Dec,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity; velvety mouthfeel. The finish consolidates to honey-toned stonefruit in the short and dark chocolate in the long."
Panama Auromar Geisha Natural,Willoughby's Coffee & Tea,Medium-Light,United States,Piedra Candela,Chiriqui Province,16.17,96,17-Dec,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy mouthfeel. The finish carries through on the promise of the cup, with rich florals in the short and deep fruit notes in the long, where a new element, a soft fruit tone suggesting coconut, surfaces."
El Salvador Finca Kilimanjaro,Bird Rock Coffee Roasters,Medium-Light,United States,Santa Ana Department,El Salvador,7.35,95,17-Dec,"High-toned, richly sweet. Strawberry guava, roasted cacao nib, lime zest, jasmine, almond in aroma and cup. Sweetly-tart structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish is long and resonant, with lime zest and strawberry guava in the short, rounding to cocoa-toned jasmine in the deeply sweet long."
Panama Elida Green Tip Gesha Natural,Equator Coffees & Teas,Medium-Light,United States,Boquete Growing Region,Western Panama,32.63,94,17-Dec,"Spice-toned, richly sweet. Raspberry, dark chocolate, hazelnut, gardenia, bergamot in aroma and cup. Sweet, fruit-forward structure; full, satiny mouthfeel. The resonant, flavor-saturated finish is characterized by notes of rich chocolate with berry and bittersweet citrus complications."
Gikanda Kenya,JBC Coffee Roasters,Medium-Light,United States,South-Central Kenya,Boquete Growing Region,5.66,96,17-Nov,"Sweetly bright, spicy and savory-edged. Orange zest, black currant, baker’s chocolate, tamarind, floral-toned vanilla, redwood in aroma and cup. Deeply bright and richly savory in structure; syrupy, lively mouthfeel. Very deep, very lasting finish, saturated with flavor: chocolate, black currant, vanilla. "
Panama Don Julian Pacamara,Willoughby's Coffee & Tea,Medium-Light,United States,Horcheta,Chiriqui Province,11.02,95,17-Nov,"Richly sweet/tart, crisply complex. Dark chocolate, roasted cashew, pink grapefruit, sandalwood, Chinese five-spice in aroma and cup. Structure is drying but sweetly juicy; buoyant and plump in mouthfeel. Nut-toned chocolate with a hint of sandalwood and spice saturate a sweet, richly dry finish. "
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,19.82,95,17-Nov,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish."
Kenya AB Muchoki,Klatch Coffee,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,5.86,95,17-Nov,"Crisply and sweetly tart, delicate yet confident. Peach, vanilla bean, grapefruit zest, almond, pink peppercorn in aroma and cup. Poised in structure: sweet, tart, savory. Mouthfeel is cushiony, plush. Flavor saturates a savory-edged, drying finish."
Colombia Nariño Duende,Paradise Roasters,Medium-Light,United States,Narino Department,Southern Colombia,4.98,93,17-Nov,"Spice-toned, chocolaty. Chocolate-toned malt, date, hazelnut, fresh pipe tobacco, stick cinnamon in aroma and cup. Richly bittersweet in structure; velvety-smooth mouthfeel. The finish is richly chocolate-toned with a hint of cinnamon."
Geisha Panama Santamaria Natural,Campos Coffee,Medium-Light,Australia,Paso Ancho,Volcan,16.56,95,17-Nov,"Crisply sweet, intricate, delicately rich. Jasmine, tangerine zest, sandalwood, sweet ripe banana, roasted cacao nib in aroma and cup. Balanced, roundly and gracefully sweet/tart in structure. Light-footed and plush in mouthfeel. Flavor consolidates around jasmine, sandalwood and banana in a sweet, lasting finish."
Estate Medium Roast,Ka'u Specialty Coffee,Medium-Light,Hawai'i,Ka'U Growing Region,Big Island Of Hawaii,13,93,18-Jan,"Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel; flavor saturates a deep, richly floral and chocolate-toned finish."
Ethiopia Holy Grail Natural Yirgacheffe,Simon Hsieh’s Aroma Roast Coffees,Medium,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,17.7,93,18-Jan,"Evaluated as espresso. Crisply sweet-tart. Frangipane, dark chocolate, cedar, tamarind, jasmine in aroma and small cup. Crisp, velvety mouthfeel; nut-toned, richly tannic finish. In cappuccino-scaled milk, invitingly bittersweet, with notes of dark chocolate and jasmine in harmony."
Kenya Karinga,Amavida Coffee Roasters,Medium-Light,United States,Gatundu,Thika Province,8.8,92,17-Dec,"Sweetly tart, intense but balanced. Orange zest, red currant, tea rose, white sage, roasted cashew in aroma and cup. Brisk and savory-edged but sweet in structure; impressively buoyant, almost effervescent mouthfeel. Flavor fades to hints of sage and cashew in a sweet though drying finish.  "
Thailand Doi Pangkhon Espresso,Paradise Roasters,Medium,United States,Doi Pangkhon Growing Region,Northern Thailand,4.98,91,17-Dec,"Evaluated as espresso. Sweetly bright, tartly juicy. Grapefruit zest, mango, chocolate, fresh-cut fir in aroma and small cup. Very lightly syrupy and lively in mouthfeel. Rounds in the finish and the chocolate comes forward. In three parts milk a dry, orangy chocolate dominates, crisply and pleasingly.  "
Ulos Batak Sumatra,JBC Coffee Roasters,Medium-Light,United States,Northern Sumatra,Indonesia,5.57,96,17-Dec,"Intensely rich, deeply sweet, complex. Chocolate fudge, lavender, grapefruit zest, moist perique-style tobacco, coconut-covered date in aroma and cup. Balanced, sweetly savory in structure with lively acidity; buoyant, syrupy mouthfeel. The flavor-laden finish offers chocolate-toned spicy florals in the short resolving to rich date notes with undertones of perique tobacco in the long."
Gaitania Colombia,JBC Coffee Roasters,Light,United States,Southern Tolima Department,West-Central Colombia,4.63,91,17-Dec,"Crisply sweet, high-toned. Maple syrup, narcissus, ripe orange, hazelnut, a hint of cardamom in aroma and cup. Gently sweet-tart structure; velvety mouthfeel. The short finish leads with attractive bittersweet orange tones; narcissus and cardamom carry the long."
Blue Label La Esmeralda Porton Pascua Gesha,PT's Coffee Roasting,Medium-Light,United States,Boquete Growing Region,Western Panama,26.46,95,17-Dec,"Richly sweet, crisply complex, spice-toned. Lilac, bergamot, white peach, caramelized walnut, sandalwood in aroma and cup. Delicate, sweetly tart, juicy in structure; crisp, satiny mouthfeel. The quietly resonant finish is flavor-saturated: stonefruit and bergamot carry the short and sandalwood-nuanced lilac notes resurface in the long."
Auromar Gesha Natural,PT's Coffee Roasting,Light,United States,Piedra Candela,Chiriqui Province,17.64,93,17-Dec,"Delicate, crisply sweet. Dried coconut, baker’s chocolate, candied violet, cedar, nutmeg in aroma and cup. Balanced, sweet-tart structure; silky mouthfeel. The gently drying finish is carried by notes of chocolate-toned coconut in the short and cedar in the long, with a whisper of sweet candied violet."
Haraz Special Red Yemen,PT's Coffee Roasting,Light,United States,Haraz Growing Region,North-Central Yemen,12.13,92,17-Dec,"Engaging, richly sweet-savory. Caramelized fig, earthy pipe tobacco, aged rum, hibiscus, cinnamon in aroma and cup. Sweetly tart structure; velvety-smooth mouthfeel. The long finish consolidates to cinnamon and caramelized fig, with a hint of aged rum."
“Naturals”,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Captain Cook,North Kona Growing District,13.23,92,17-Dec,"Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure; velvety mouthfeel. The crisp, gently drying finish leads with notes of chocolate-toned berries in the short, and spicy-sweet florals and aromatic wood notes in the long."
Finca Merced Guatemala,Chocolate Fish Coffee Roasters,Light,United States,Chimaltenango Department,Guatemala,5,93,17-Dec,"Richly sweet, high-toned. Maple syrup, orange zest, roasted cacao nib, peach, cedar in aroma and cup. Sweet-tart structure; satiny mouthfeel. The resonant finish has a throughline of roasted cacao nib, accompanied by notes of peach and maple syrup in the short and orange zest and cedar in the long. "
El Peñon Nicaragua,Barrington Coffee Roasting,Light,United States,Jinotega,Nicaragua,5.28,94,17-Dec,"Vibrant, richly sweet, clear-toned. Roasted cacao nib, ginger blossom, dried fig, sandalwood, sugar cane in aroma and cup. Lushly sweet-tart in structure with juicy acidity; crisp, velvety mouthfeel. The deep, resonant finish is flavor-laden, fulfilling the promise of the cup with spicy floral notes in the short and cocoa-toned fruit in the long."
Kenya Chorongi Peaberry,Speckled Ax,Medium-Light,United States,Mukaro,Nyeri Growing Region,5.88,95,17-Dec,"Intense, dynamic, richly sweet-savory. Passionfruit jam, baker’s chocolate, aromatic orchid, sandalwood, almond in aroma and cup. Bright, sweetly tart in structure; full, velvety mouthfeel. The resonant finish is crisply sweet, with layers of complex fruit and floral notes in the short, consolidating to baker’s chocolate and almond in the long. "
Honduras Los Catadores Honey,Kakalove Cafe,Medium-Light,Taiwan,Marcala Growing Region,La Paz Department,3.54,93,17-Dec,"Evaluated as espresso. Deeply expressed dark chocolate, magnolia-like flowers, grapefruit zest, date, cedar in aroma and small cup. Lean, though very smooth mouthfeel; chocolate-toned finish with hints of cedar. The chocolate deepens in three parts milk, enlivened by continued suggestions of magnolia and grapefruit."
Static Kenya Kavutiri,Espresso Republic,Medium-Light,United States,Kiambu County,South-Central Kenya,7.35,92,17-Dec,"Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long, with a throughline of baker’s chocolate."
Honduras La Lesquinada Washed,Kakalove Cafe,Medium-Light,Taiwan,Copan,Honduras,3.54,92,17-Dec,"Evaluated as espresso. Bright, zesty-sweet. Baker’s chocolate, lemon zest, black cherry, fresh-cut fir, narcissus in aroma and small cup. Crisp, velvety mouthfeel; balanced, sweetly tart finish. In three-parts milk the coffee particularly impresses: rich chocolate harmoniously envelops tart fruit and sweet floral notes."
Kenya Gicherori,The WestBean Coffee Roasters,Medium-Light,United States,Kiambu County,South-Central Kenya,7.05,91,17-Dec,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s chocolate, with a hint of cinnamon. "
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.11,90,18-Feb,"Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s chocolate in the short complicated by deep florals and aromatic wood, rounding to cocoa powder and molasses in the long."
